question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Gabriel phthalimide reaction is used to prepare:,,Chemistry,Organic Chemistry,Amines,1,Medium,Primary aromatic amines,,Secondary amines,,Primary aliphatic amines,,Tertiary amines,,3
Calculate the pOH of a solution at 25°C that contains 1×10⁻¹⁰ M of hydronium ions i.e. H₃O⁺.,,Chemistry,Physical Chemistry,pH & pOH,1,Hard,4,,7,,10,,9,,2
The given structure HO–⏣–NHCOCH₃ acts as:,,Chemistry,Organic Chemistry,Functional groups,1,Medium,Analgesic,,Disinfectants,,Antipyretic,,Antiseptic,,1
FeSO₄ + KMnO₄ + H₂SO₄ → Fe₂(SO₄)₃ + K₂SO₄ + MnSO₄ + H₂O which one is reduced?,,Chemistry,Redox,Reaction,1,Medium,Fe,,Mn,,S,,K,,2
The methyl magnesium bromide is added to carbon-dioxide then the product formed is:,,Chemistry,Organic Chemistry,Grignard reagent,1,Medium,Ethanol,,Propanal,,Ethanoic acid,,Methanoic acid,,3
"When 100 ml of 1 M NaOH is added to 10 ml of 10 N H₂SO₄, then the solution is:",,Chemistry,Acid-Base,Neutralization,1,Medium,Alkaline,,Acidic,,Strongly acidic,,Neutral,,2
Biuret test is for:,,Chemistry,Organic Chemistry,Biomolecules,1,Easy,Carbohydrates,,Proteins,,Vitamins,,None,,2
"In the Haber’s process, 3H₂(g)+N₂(g) ⇌ 2NH₃ + ΔH = -92.6 kJ. Formation of ammonia is favoured by:",,Chemistry,Chemical Equilibrium,Haber’s process,1,Medium,Decreasing pressure,,Increasing pressure,,Increasing temperature,,None,,2
The ether formed by the reaction of t-butyl alkoxide and methyl iodide is:,,Chemistry,Organic Chemistry,Williamson’s synthesis,1,Medium,Methyl ter-butyl ether,,Tert-butyl methyl ether,,di-tert-butyl ether,,tert-butyl ethyl ether,,2
"Chlorine has two isotopes with relative isotopic mass 35 and 37. Four m/z values are given below. Which will occur in mass spectrum of chlorine gas, Cl₂, from an ion with a single positive charge?",,Chemistry,Atomic Structure,Isotopes,1,Medium,35.5,,36,,72,,71,,4
Which one is easily sulphonated?,,Chemistry,Organic Chemistry,Aromatic substitution,1,Easy,Benzene,,Nitrobenzene,,Chlorobenzene,,Toluene,,1
Which one is used as nuclear moderator?,,Chemistry,Nuclear Chemistry,Nuclear reactor,1,Medium,Graphite,,Cadmium rod,,Boron rod,,Water solution,,1
"In organic chemistry, higher boiling molecular hydrocarbon is broken into lower boiling molecular hydrocarbon. The process is:",,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,Hydrolysis,,Cracking,,Nitriding,,Case hardening,,2
The density of ice is 1 g/ml. What is the volume of steam produced when 1 ml of ice is heated to 596K at pressure of 1 atm (One mole of water contains 24 L at 298K STP)?,,Chemistry,Physical Chemistry,Gas laws,1,Hard,0.267,,2.67,,1.33,,4.8,,2
Which one of the monosaccharides that contain aldehydic group can reduce directly into alcohol during fermentation?,,Chemistry,Organic Chemistry,Carbohydrates,1,Medium,CH₂OH–C=O,,CH=O–CHOH,,CHOH–CHOH,,CH₂OH–CHO,,4
"In adiabatic process, which of the following is constant?",,Chemistry,Thermodynamics,Adiabatic process,1,Medium,Q=0,,ΔT=0,,W=0,,ΔU=0,,1
"Pb⁴⁺ + 2e⁻ → Pb²⁺, E=+1.66V. Which of the following is true?",,Chemistry,Redox,Electrochemistry,1,Hard,Pb²⁺ is more oxidizing,,Pb⁴⁺ is more stable wrt Pb²⁺,,Greater tendency for backward reaction,,Forward reaction is convenient spontaneous,,2
Depression of floor of buccal cavity in frog is due to the muscle:,,Zoology,Frog Anatomy,Respiration,1,Medium,Petrohyal muscle,,Sternohyal muscle,,Vocal cords,,Pneumatic bone,,2
The osmotic pressure created by plasma proteins in the glomerular filtrate is:,,Zoology,Human Physiology,Excretion,1,Medium,-70 mmHg,,-30 mmHg,,55 mmHg,,-10 mmHg,,3
Spicules forming cells in Porifera is:,,Zoology,Lower Animals,Porifera,1,Medium,Choanocytes,,Collencytes,,Chromocytes,,Scleroblast,,4
Which helps in excretion in earthworm?,,Zoology,Annelida,Excretion,1,Easy,Chloragogen cell,,Choanocytes,,Renette cells,,Flame cells,,1
Resemblance between widely different groups due to a common habitat is:,,Zoology,Evolution,Adaptations,1,Medium,Adaptive radiation,,Parallel evolution,,Retrogressive evolution,,Convergent evolution,,4
The most important characteristics of vertebrae of mammal is:,,Zoology,Anatomy,Mammalian features,1,Medium,Transverse process,,Neural spine,,Procoelous,,Amphiplatyan,,2
Maximum CO₂ transport is in the form of:,,Zoology,Physiology,Respiration,1,Medium,Plasma,,Carbamino hemoglobin,,Bicarbonates,,Buffer,,3
The genotype of B-blood group father having O-blood group child is:,,Zoology,Genetics,Blood groups,1,Medium,IᴬIᴼ,,IᴮIᴼ,,IᴬIᴬ,,IᴬIᴮ,,2
The disease which is more common in Terai in which the oxygen carrying capacity of blood decrease is:,,Zoology,Human Physiology,Blood disorders,1,Medium,Phenylketonuria,,Sickle cell anemia,,Haemophilia,,Leukemia,,2
The amino acid responsible for maintenance of blood sugar level is:,,Zoology,Biochemistry,Amino acids,1,Medium,Glycine,,Arginine,,Glutamine,,Histidine,,3
An example of diploblastic animal is:,,Zoology,Lower Animals,Diploblastic organisms,1,Easy,Jelly Fish,,Gold Fish,,Star Fish,,Silver Fish,,1
A process that helps arthropods to grow:,,Zoology,Invertebrates,Growth,1,Medium,Morphogenesis,,Lyses,,Homeostasis,,Ecdysis,,4
Stage of plasmodium injected by mosquito to human is:,,Zoology,Protozoa,Malaria,1,Medium,Sporozoite,,Oocyte,,Merozoite,,Ookinete,,1
A connective link between reptiles and birds is:,,Zoology,Evolution,Transitional species,1,Medium,Whale,,Archaeopteryx,,Platypus,,Java ape man,,2
Which of the following is the correct pathway for propagation of cardiac impulse?,,Zoology,Physiology,Circulation,1,Medium,SA node → AV node → Bundle of His → Purkinje fibers,,AV node → Bundle of His → SA node → Purkinje fibers,,SA node → Purkinje fibers → AV node → Bundle of His,,Purkinje fibers → AV node → SA node → Bundle of His,,1
The 16-celled stage is called as:,,Zoology,Embryology,Development,1,Medium,Morula,,Blastula,,Gastrula,,Blastomere,,1
Vaccines produced by recombinant DNA technology are known as:,,Zoology,Biotechnology,Vaccines,1,Medium,4th generation,,3rd generation,,2nd generation,,1st generation,,3
Miller and Urey performed an experiment to process origins of life. They used NH₃ and H₂ along with:,,Zoology,Evolution,Origin of life,1,Medium,CH₄ and N₃,,CO₂ and N₃,,H₂O and CH₄,,N₂ and H₂O,,3
Animals with four chambered stomach designed for coarse plant materials are referred as:,,Zoology,Digestive System,Ruminants,1,Medium,Browsers,,Grassers,,Herbivores,,Ruminants,,4
Study of fishes is called as:,,Zoology,Classification,Branches of biology,1,Easy,Ornithology,,Limnology,,Ichthyology,,Herpetology,,3
Phagocytosis is the important process in our body to destroy parasites. This process is the function of:,,Zoology,Physiology,Immunity,1,Medium,Basophils,,Eosinophils,,Neutrophils,,Lymphocytes,,3
Vitamin which is water soluble is:,,Zoology,Biochemistry,Vitamins,1,Easy,Vitamin A,,Vitamin B,,Vitamin K,,Vitamin D,,2
"In earthworm, fertilization occurs in:",,Zoology,Annelida,Reproduction,1,Medium,Soil,,Cocoon,,Oviduct,,Ootheca,,2
Which hormone possesses anti-insulin effect?,,Zoology,Endocrinology,Hormones,1,Medium,Cortisol,,Calcitonin,,Thyroxine,,Aldosterone,,1
Tetany is caused due to:,,Zoology,Endocrinology,Disorders,1,Medium,Hyperthyroidism,,Hypothyroidism,,Hypoparathyroidism,,Hyperparathyroidism,,3
The egg in which yolk is present at one end is:,,Zoology,Embryology,Types of eggs,1,Medium,Microlecithal,,Macrolecithal,,Homolecithal,,Telolecithal,,4
Osmotrophy is related to:,,Zoology,Nutrition,Modes of nutrition,1,Medium,Holophytic nutrition,,Parasitic nutrition,,Saprophytic nutrition,,None,,3
The condition in which the testes fail to descend into the scrotum is:,,Zoology,Reproductive System,Cryptorchidism,1,Easy,Vasectomy,,Impotency,,Cryptorchidism,,Laparoscopy,,3
Stratum corneum of frog is:,,Zoology,Anatomy,Skin,1,Medium,"Living, nucleated, flat",,"Living, non-nucleated, flat",,"Dead, non-nucleated, flat, dry",,"Dry, nucleated, dead, flat",,3
The band of cilia present on the dorsal surface of vestibule is:,,Zoology,Lower Animals,Protozoa,1,Medium,Peniculus,,Quadrulus,,Caudal tuft,,Kinetosome,,1
Nerve cord of earthworm is:,,Zoology,Annelida,Nervous system,1,Medium,Dorsal and hollow,,Ventral and hollow,,Dorsal and solid,,Ventral and solid,,4
Center of balance in the brain is:,,Zoology,Nervous System,Brain,1,Medium,Cerebellum,,Cerebral hemisphere,,Diencephalon,,Medulla oblongata,,1
The following are characters of Agnatha except:,,Zoology,Classification,Agnatha,1,Medium,Parasites,,Jawless mouth,,Paired fins,,Bony teeth,,3
Acromion process is found in:,,Zoology,Anatomy,Skeleton,1,Medium,Pelvic girdle,,Pectoral girdle,,Humerus,,Femur,,2
Number of bones in hind limb is:,,Zoology,Anatomy,Skeletal system,1,Medium,14,,20,,24,,30,,2
Earliest form of fossil of horse is:,,Zoology,Evolution,Fossil record,1,Medium,Eohippus,,Meryohippus,,Meryhippus,,Equus,,1
The characteristic of automaticity is found in:,,Zoology,Physiology,Muscle properties,1,Medium,Smooth muscle,,Skeletal muscle,,Cardiac muscle,,Neuron,,3
Rods and cones of retina are modified:,,Zoology,Nervous System,Eye,1,Easy,Unipolar neurons,,Bipolar neurons,,Multipolar neurons,,None,,2
Pneumotaxic centre located in:,,Zoology,Physiology,Respiration,1,Medium,Cerebrum,,Cerebellum,,Medulla oblongata,,Pons varolii,,4
Metamorphosis is accelerated by:,,Zoology,Endocrinology,Hormones,1,Medium,Iodine,,Sodium,,Calcium,,Potassium,,1
A vaccine stimulates a primary response against the antigens without causing symptoms of disease. This type of immunity provided by the vaccine is:,,Botany,Immunology,Immunity,1,Medium,Passive immunity,,Active immunity,,Both type of immunity,,Normal type of immunity,,2
Bacteria lacks:,,Botany,Microbiology,Structure,1,Medium,Endoplasmic reticulum,,DNA,,Cell membrane,,Cell wall,,1
The plant stem is modified for different purposes. One of the modifications is underground modification. This type of modification is basically for:,,Botany,Morphology,Stem modification,1,Medium,Growth,,Perennation,,Development,,Transport,,2
The plant which gives agar-agar is:,,Botany,Algae,Commercial importance,1,Easy,Chara,,Gelidium,,Sargassum,,Laminaria,,2
The viral infection cycle that will cause the viral DNA to become integrated into the bacterial DNA is called the:,,Botany,Microbiology,Viruses,1,Medium,Lysogenic cycle,,Lysozyme cycle,,Lytic cycle,,Lysel cycle,,1
Vascular cryptogams is:,,Botany,Pteridophyta,General characters,1,Medium,Pteridophyta,,Bryophyta,,Algae,,Fungi,,1
The growth curve of bacterial population in lab is plotted against time. What will be the shape of graph?,,Botany,Microbiology,Bacterial growth,1,Medium,Sigmoid,,Hyperbolic,,Ascending straight line,,Descending straight line,,1
"In Terai region, the most common disease that appears among the Tharu community is:",,Zoology,Human Health,Genetic disorders,1,Medium,Phenylketonuria,,Sickle cell anemia,,Hemophilia,,Colour blindness,,2
The substance that regulates turgor pressure and CO₂ entry. This substance also helps to minimize transpiration is:,,Botany,Plant Physiology,Transpiration,1,Medium,Stomata,,Hydathodes,,Cutin,,Suberin,,3
When the unwanted introns are removed and functional regions (exons) are responsible for coding in transcription. This process is known as:,,Botany,Molecular Biology,Gene expression,1,Medium,Transduction,,Inducing,,Splicing,,Constitutive genes,,3
The total number of base pairs in one turn in B-DNA is:,,Botany,Molecular Biology,DNA structure,1,Easy,11,,12,,10,,9,,3
Inheritance of skin colour in human beings is an example of:,,Zoology,Genetics,Inheritance,1,Medium,Monogenic inheritance,,Polygenic inheritance,,Complementary inheritance,,Mendelian inheritance,,2
In mitochondria which is present:,,Botany,Cell Biology,Mitochondria,1,Medium,Oxysomes,,Quantasomes,,Thylakoids,,Cisternae,,1
End product of fermentation is:,,Botany,Microbiology,Fermentation,1,Medium,Ethyl alcohol and oxygen,,Alcohol and acetaldehyde,,Acetaldehyde and CO₂,,Alcohol and CO₂,,4
No. of ATP and NADPH₂ required to fix 6 molecule of CO₂ is:,,Botany,Photosynthesis,Calvin cycle,1,Hard,12 ATP and 18 NADPH₂,,12 ATP and 12 NADPH₂,,18 ATP and 18 NADPH₂,,18 ATP and 12 NADPH₂,,1
In C₄ plant first CO₂ acceptor is:,,Botany,Photosynthesis,C₄ cycle,1,Medium,Oxaloacetic acid,,Malic acid,,"Ribulose 1, 5 biphosphate",,Phosphoenol pyruvate,,4
Enzyme required for removing RNA primer during DNA replication is:,,Botany,Molecular Biology,DNA replication,1,Medium,Ligase,,DNA polymerase III,,DNA polymerase I,,Primase,,3
Transfer of pollen grain from anther to stigma of different flower of same plant is:,,Botany,Reproduction,Pollination,1,Medium,Ecologically cross pollination and genetically self pollination,,Ecologically self pollination and genetically cross pollination,,Both ecologically and genetically self pollination,,Both ecologically and genetically cross pollination,,1
The marker enzyme of mitochondria is:,,Botany,Cell Biology,Enzymes,1,Medium,Pyruvate dehydrogenase,,Aldolase,,Amylase,,Succinic dehydrogenase,,4
The usual purpose of colchicine is:,,Botany,Genetics,Chromosome doubling,1,Medium,Point mutation,,Deletion,,Doubling chromosome,,Inversion,,3
Phylloclade is present in:,,Botany,Morphology,Stem modification,1,Medium,Opuntia,,Asparagus,,Orchids,,Hydrilla,,1
Coralloid roots of Cycas help in:,,Botany,Morphology,Roots,1,Medium,Absorption and N₂ fixation,,Anchorage,,Assimilation,,Mycorrhizal function,,1
Minute pore like opening found in the cork that help in exchange of gases are called:,,Botany,Morphology,Stomata & openings,1,Medium,Stomata,,Hydathodes,,Lenticels,,Cuticles,,3
Mesophyll leaf is differentiated into palisade and spongy in:,,Botany,Anatomy,Leaf,1,Easy,Monocot leaf,,Dicot leaf,,Xerophytic leaf,,Angiosperms,,2
The plant having characteristic of thin cuticle and aerenchyma is found in:,,Botany,Ecology,Plant adaptation,1,Medium,Xerophytes,,Hydrophytes,,Halophytes,,Mesophytes,,2
Cyanobacteria:,,Botany,Microbiology,Cyanobacteria,1,Medium,Have flagella or cilia,,Are eukaryotes,,Are photosynthetic,,Have histone,,3
Lichen following mode of life is:,,Botany,Symbiosis,Lichen,1,Medium,Saprophytic,,Obligatory parasite,,Commensalism,,Symbiotic,,4
Mucor and Rhizopus belong to:,,Botany,Fungi,Classification,1,Medium,Zygomycota,,Basidiomycota,,Deuteromycota,,Ascomycota,,1
Which of the following is not a form of asexual reproduction in plants?,,Botany,Reproduction,Asexual reproduction,1,Medium,Layering,,Grafting,,Runners,,Pollination,,2
Ultraviolet rays destroy DNA but its cell can neutralize this effect. This is called:,,Botany,Genetics,DNA repair,1,Medium,Mutagenesis,,Photoreactivation,,Vernal adaptability,,Alteration,,2
"Glycolysis is the anaerobic process and universal process. In this process also, the breakdown of sugar and the glycolysis takes place in:",,Botany,Physiology,Glycolysis,1,Medium,Cytoplasm,,Ribosome,,Mitochondria,,ER,,1
"During an expedition, a large barren area was found. In this type of ground, which living beings are earliest settler?",,Botany,Ecology,Ecological succession,1,Medium,Lichen,,Fern,,Fungi,,Gymnosperm,,1
Shrubs have strong wood trunks and they are free supporters. These types of shrubs are found mainly in:,,Botany,Ecology,Vegetation,1,Medium,Tropical rain forest,,Temperate forest,,Alpine habitat,,None,,2
Which one is good example of heterothallism?,,Botany,Fungi,Reproduction,1,Medium,Spirogyra,,Ulothrix,,Mucor,,Lichen,,3
Transgenic crops developed to tolerate herbicides are:,,Botany,Biotechnology,GM crops,1,Medium,Tomato and rice,,Rice and wheat,,Maize and sugarcane,,Tomato and tobacco,,3
An example of ex-situ conservation is:,,Botany,Ecology,Conservation,1,Medium,Wildlife sanctuary,,Seed bank,,Sacred groves,,National parks,,2
The shape of nucleolus is maintained by:,,Botany,Cell Biology,Nucleus,1,Medium,Mn²⁺,,K⁺,,Mg²⁺,,Zn²⁺,,3
"In test tube, for preventing clotting of blood, scientists use which of the following substance?",,Zoology,Physiology,Circulation,1,Medium,Fibrin,,Prothrombin,,Streptokinase,,Glucose,,3
Which cause acid rain and affects the respiratory system?,,Environment,Pollution,Acid rain,1,Easy,Nitric acid,,Lead nitrate,,CO₂,,SO₂,,4
The complex of sugar polymers and proteins which are patchily distributed on the plasma membranes of animal cells is called:,,Zoology,Cell Biology,Plasma membrane,1,Medium,Chitin,,Cellulose,,Glycocalyx,,Cytoskeleton,,3
